text	sentiment	emotion
الله يعوضك خيرا مماخسرت ويوفقك من خيري الدنيا والاخرة	p	Sadness
من جدك هذا وانت استاذنا الله يعوضك اضعافها يارب	p	Sadness
الله يعوضك اضعاف ماخسرت ويرزقك بر ولدك وجميع الاخوان	p	Sadness
انما النصر صبر ساعه	p	Happiness
اعجبني كلامك ومع اني خسران و متعلق فيه لكن بزود الكميه ان شاءالله	p	Happiness
سوق مالي مسير لارباح صناع الثروات بتدبيل املاكها ولن يربح به سوي الصناع	n	Anger
من يتذكر 2006 والاسعار اللجين ب35 والمجموعه ب25 التاريخ يعيد نفسه مثل هذه الاسعار بداءت الارتفاعات الله يوفق الجميع	p	Sadness
العفو بالتوفيق سهمك زمآآآآن أمجاد وبطولات نتمنى يرجع لأمجاده	p	Happiness
حي الله الغالي أخونا المتشرد لك وحشه من أيام انابيب العربيه في قيعان قيعانها احلى الأيام واحلى سهم	p	Happiness
امين يارب والله اني متعاطف معهم جداً	p	Sadness
توكل على الله وعدل وضارب بالكميات الجديدة	p	Happiness
عقبال (( سابتكو )) إن شاء الله ..	p	Happiness
درعمنا والرازق رب العباد	p	Fear
الله يعوضكم خيرا كثير باذن الله يعاود السهم الى مقاومة 2 الموضحه اعلاه	p	Sadness
الله يرزقك اخي العزيز	p	Happiness
الله بعباده كريم ورحيم وحليم سبحانه	p	Happiness
باذن الله يرجع لامجاده ومن اليوم	p	Happiness
الفرص لا تتكرر والله اني لكم من الناصحين والمحبين الخير للناس	p	Happiness
فرج الله قريب ٠٠٠٠٠٠ممكن بكره يطلع خبر استحواذ ويرجع ٥٠ دولار	p	Happiness
الله كريم ويصر مثله	p	Sadness
ممكن تضغطنا ارامكو والصبات اشوي لكن الامور طيبه ان شاء الله	p	Fear
الله يفك تعليقتك بالسعر اللي يسعدك ويعوضك خير	p	Sadness
ان شاء الله يتغير حالكم الى الأفضل والعلم عند الله	p	Happiness
ان الله كتب يفك أسر المكبَّل والجمل نوى الجمَّال يفك قيده🐪عينكم على122.20	t	Happiness
ربك كريم بعتها ب 44 الله يرزق ملاكها ويعوضنا خير	p	Sadness
الله يعوضك و يرزقك من واسع فضله	p	Sadness
اصبر كم يوم وتنفك تعليقتك بإذن الله تعالى	p	Sadness
الله كريم كل ماقرب للمقاومه رشهم وضغطهم ان شاءالله ينتهي الضغط ويقلع قريب	p	Anger
ان شاء الله تتعدل الامور وتستمر في تلك الانجازات.التفاؤل طيب بارك الله فيك.	p	Happiness
اعتذر يبو مساعد احسبك غلطان في الحسبه على العموم الله يوفقك ويرزق الجميع من واسع فضله....	p	Sadness
باذن الله انك تبيعها الربع الثالث من سنه 2024 بربح دبل سعرها الحالي	p	Happiness
